iter	Passed	Remaining
1439	245595	10233
1440	245789	10063
1441	245953	9892
1442	246110	9721
1443	246272	9550
1444	246438	9379
1445	246605	9209
1446	246766	9038
1447	246941	8868
1448	247144	8698
1449	247328	8528
1450	247517	8358
1451	247713	8188
1452	247896	8018
1453	248085	7848
1454	248279	7678
1455	248452	7508
1456	248627	7337
1457	248806	7167
1458	248974	6996
1459	249157	6826
1460	249338	6655
1461	249543	6486
1462	249724	6315
1463	249893	6144
1464	250055	5974
1465	250211	5803
1466	250366	5631
1467	250523	5461
1468	250689	5290
1469	250856	5119
1470	251016	4948
1471	251172	4777
1472	251337	4607
1473	251505	4436
1474	251675	4265
1475	251839	4094
1476	252001	3924
1477	252173	3753
1478	252344	3582
1479	252497	3412
1480	252656	3241
1481	252818	3070
1482	252992	2900
1483	253156	2729
1484	253339	2558
1485	253506	2388
1486	253667	2217
1487	253830	2047
1488	253979	1876
1489	254140	1705
1490	254300	1535
1491	254464	1364
1492	254625	1193
1493	254797	1023
1494	254965	852
1495	255146	682
1496	255303	511
1497	255496	341
1498	255694	170
1499	255861	0
